state_name,total_companies,opportunity_score,density,competitive_intensity,quadrant,volume_norm,quality_volume_score,entry_score,entry_score_norm,entry_rank,municipality_name,customer_count,competitor_count,opportunity_ratio
BAJA CALIFORNIA,1037,0.9525,662,0.1249,Priority,0.4617,0.8053,0.7304,1.0,1,TECATE,35.0,7.0,4.38
BAJA CALIFORNIA,1037,0.9525,662,0.1249,Priority,0.4617,0.8053,0.7304,1.0,1,PLAYAS DE ROSARITO,45.0,10.0,4.09
BAJA CALIFORNIA,1037,0.9525,662,0.1249,Priority,0.4617,0.8053,0.7304,1.0,1,ENSENADA,188.0,98.0,1.9
BAJA CALIFORNIA,1037,0.9525,662,0.1249,Priority,0.4617,0.8053,0.7304,1.0,1,MEXICALI,298.0,167.0,1.77
BAJA CALIFORNIA,1037,0.9525,662,0.1249,Priority,0.4617,0.8053,0.7304,1.0,1,TIJUANA,471.0,373.0,1.26
QUERETARO,802,0.8898,601,0.103,Priority,0.3654,0.7325,0.6707,0.9173,3,,,,
COAHUILA DE ZARAGOZA,968,0.8681,524,0.1668,Priority,0.4359,0.7384,0.6383,0.8725,4,SAN BUENAVENTURA,9.0,0.0,9.0
COAHUILA DE ZARAGOZA,968,0.8681,524,0.1668,Priority,0.4359,0.7384,0.6383,0.8725,4,SABINAS,21.0,2.0,7.0
COAHUILA DE ZARAGOZA,968,0.8681,524,0.1668,Priority,0.4359,0.7384,0.6383,0.8725,4,GENERAL CEPEDA,5.0,0.0,5.0
COAHUILA DE ZARAGOZA,968,0.8681,524,0.1668,Priority,0.4359,0.7384,0.6383,0.8725,4,RAMOS ARIZPE,42.0,9.0,4.2
COAHUILA DE ZARAGOZA,968,0.8681,524,0.1668,Priority,0.4359,0.7384,0.6383,0.8725,4,ARTEAGA,7.0,1.0,3.5
CHIHUAHUA,1017,0.8446,540,0.1538,Priority,0.4544,0.7275,0.6352,0.8682,5,BOCOYNA,13.0,0.0,13.0
CHIHUAHUA,1017,0.8446,540,0.1538,Priority,0.4544,0.7275,0.6352,0.8682,5,OJINAGA,16.0,1.0,8.0
CHIHUAHUA,1017,0.8446,540,0.1538,Priority,0.4544,0.7275,0.6352,0.8682,5,BUENAVENTURA,5.0,0.0,5.0
CHIHUAHUA,1017,0.8446,540,0.1538,Priority,0.4544,0.7275,0.6352,0.8682,5,NAMIQUIPA,5.0,0.0,5.0
CHIHUAHUA,1017,0.8446,540,0.1538,Priority,0.4544,0.7275,0.6352,0.8682,5,ROSALES,5.0,0.0,5.0
SONORA,1148,0.8163,593,0.1716,Priority,0.4998,0.7213,0.6183,0.8448,6,BACUM,5.0,0.0,5.0
SONORA,1148,0.8163,593,0.1716,Priority,0.4998,0.7213,0.6183,0.8448,6,EMPALME,24.0,4.0,4.8
SONORA,1148,0.8163,593,0.1716,Priority,0.4998,0.7213,0.6183,0.8448,6,ETCHOJOA,13.0,2.0,4.33
SONORA,1148,0.8163,593,0.1716,Priority,0.4998,0.7213,0.6183,0.8448,6,NAVOJOA,88.0,23.0,3.67
SONORA,1148,0.8163,593,0.1716,Priority,0.4998,0.7213,0.6183,0.8448,6,GUAYMAS,57.0,17.0,3.17
COLIMA,322,0.7628,144,0.0405,Priority,0.024,0.5412,0.5169,0.7044,10,TECOMAN,46.0,4.0,9.2
COLIMA,322,0.7628,144,0.0405,Priority,0.024,0.5412,0.5169,0.7044,10,MINATITLAN,5.0,0.0,5.0
COLIMA,322,0.7628,144,0.0405,Priority,0.024,0.5412,0.5169,0.7044,10,COQUIMATLAN,4.0,0.0,4.0
COLIMA,322,0.7628,144,0.0405,Priority,0.024,0.5412,0.5169,0.7044,10,MANZANILLO,86.0,25.0,3.31
COLIMA,322,0.7628,144,0.0405,Priority,0.024,0.5412,0.5169,0.7044,10,COMALA,9.0,3.0,2.25
QUINTANA ROO,414,0.7321,337,0.1286,Priority,0.1179,0.5478,0.4706,0.6403,13,ISLA MUJERES,6.0,2.0,2.0
QUINTANA ROO,414,0.7321,337,0.1286,Priority,0.1179,0.5478,0.4706,0.6403,13,FELIPE CARRILLO PUERTO,11.0,5.0,1.83
QUINTANA ROO,414,0.7321,337,0.1286,Priority,0.1179,0.5478,0.4706,0.6403,13,LAZARO CARDENAS,5.0,2.0,1.67
QUINTANA ROO,414,0.7321,337,0.1286,Priority,0.1179,0.5478,0.4706,0.6403,13,COZUMEL,26.0,17.0,1.44
QUINTANA ROO,414,0.7321,337,0.1286,Priority,0.1179,0.5478,0.4706,0.6403,13,OTHON P. BLANCO,67.0,47.0,1.4
SINALOA,989,0.4719,501,0.1638,Priority,0.4439,0.4635,0.3652,0.4943,15,NAVOLATO,41.0,4.0,8.2
SINALOA,989,0.4719,501,0.1638,Priority,0.4439,0.4635,0.3652,0.4943,15,CONCORDIA,6.0,0.0,6.0
SINALOA,989,0.4719,501,0.1638,Priority,0.4439,0.4635,0.3652,0.4943,15,EL FUERTE,17.0,2.0,5.67
SINALOA,989,0.4719,501,0.1638,Priority,0.4439,0.4635,0.3652,0.4943,15,ANGOSTURA,11.0,1.0,5.5
SINALOA,989,0.4719,501,0.1638,Priority,0.4439,0.4635,0.3652,0.4943,15,SALVADOR ALVARADO,42.0,8.0,4.67
